mr,range_change,range_percent_change,range_passed
GlobalBrightnessRelation,0.0065593719482421875,0.40159425009747274,True
GlobalContrastRelation,0.002106904983520508,0.12899419846290225,True
GlobalNoiseRelation,0.0010993480682373047,0.06730703282929074,True
GlobalRotationRelation,0.004981637001037598,0.30499822109122,True
GlobalTranslationRelation,0.006258249282836914,0.38315816628411464,True
HazeRelation,0.0013102293014526367,0.08021813032170186,True
NoiseRelation,0.00011897087097167969,0.007283931767906328,True
RainRelation,0.003993391990661621,0.2444934171273488,True
RotationRelation,5.0187110900878906e-05,0.0030726806355596834,True
SandstormRelation,0.0011445283889770508,0.07007317525417701,True
SmokeRelation,0.001168966293334961,0.07156937366341629,True
SnowRelation,0.0018334388732910156,0.11225137333707347,True
TranslationRelation,0.00047326087951660156,0.02897515943746305,True
DarkVisibilityRelation,0.006327629089355469,0.38740591006058905,True
BlurRelation,5.245208740234375e-05,0.003212529709627846,True
BrightnessRelation,0.004942417144775391,0.30270791309356937,True
CompositeRelation,0.0028448104858398438,0.17423592952399758,True
ContrastRelation,0.00015592575073242188,0.009549974682257325,True
DarkVisibilityRelation,0.006327629089355469,0.38754790224328656,True
DustRelation,0.0016396045684814453,0.10042075824141228,True
FogRelation,0.000975489616394043,0.05974575139519242,True
GlobalBlurRelation,0.00054168701171875,0.033176670455793034,True
GlobalBrightnessRelation,0.0038269758224487305,0.23439054833677897,True
GlobalContrastRelation,0.002106904983520508,0.1290414774726422,True
GlobalNoiseRelation,0.001972794532775879,0.12082762310143462,True
GlobalRotationRelation,0.002431631088256836,0.14892995685679275,True
GlobalTranslationRelation,0.0040847063064575195,0.25017575113726853,True
HazeRelation,0.001251816749572754,0.07666994200182276,True
NoiseRelation,8.71419906616211e-05,0.005337180040313536,True
RainRelation,0.003993391990661621,0.24458302896096187,True
RotationRelation,0.0002682209014892578,0.016427708742415125,True
SandstormRelation,0.001268625259399414,0.07769941174968077,True
SmokeRelation,0.0008237361907958984,0.05045131884892823,True
SnowRelation,0.0029774904251098633,0.18236216944857891,True
TranslationRelation,0.0007594823837280273,0.04651596995463411,True
BlurRelation,5.245208740234375e-05,0.003202735861150276,True
BrightnessRelation,0.004942417144775391,0.3017850654620237,True
CompositeRelation,0.0028448104858398438,0.1737047467965686,True
ContrastRelation,0.00015592575073242188,0.009520860241783094,True
DarkVisibilityRelation,0.006327629089355469,0.38636640797694694,True
DustRelation,0.0016396045684814453,0.10011461144150202,True
FogRelation,0.000975489616394043,0.05956360807225615,True
GlobalBlurRelation,0.00054168701171875,0.03307552671151558,True
GlobalBrightnessRelation,0.0038269758224487305,0.2336759757966075,True
GlobalContrastRelation,0.002106904983520508,0.1286480763862954,True
GlobalNoiseRelation,0.001972794532775879,0.12045926310494527,True
GlobalRotationRelation,0.002431631088256836,0.1484759229448712,True
GlobalTranslationRelation,0.0040847063064575195,0.24941305518707776,True
HazeRelation,0.001251816749572754,0.07643620290440693,True
NoiseRelation,8.71419906616211e-05,0.005320908896592844,True
RainRelation,0.003993391990661621,0.24383738321062065,True
RotationRelation,0.0002682209014892578,0.016377626562700275,True
SandstormRelation,0.001268625259399414,0.07746253416900281,True
SmokeRelation,0.0008237361907958984,0.050297510910337295,True
SnowRelation,0.0029774904251098633,0.18180621273625103,True
TranslationRelation,0.0007594823837280273,0.0463741594804282,True
BlurRelation,5.245208740234375e-05,0.0032169543111221755,True
BrightnessRelation,0.004942417144775391,0.303124831225285,True
CompositeRelation,0.0028448104858398438,0.17447590381959,True
ContrastRelation,0.00015592575073242188,0.009563127815790468,True
DustRelation,0.0016396045684814453,0.10055906726176,True
FogRelation,0.000975489616394043,0.05982803892707446,True
